Client_ID;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;W16;W17;W18;W19;W20;W21;W22;W23;W24;W25;W26;W27;W28;W29;W30;W31;W32;W33;W34;W35;W36;W37;W38;W39;W40;W41;W42;W43;W44;W45
1028;0;2;0;0;0;5;0;0;0;0;34;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;0;1;0;0
1031;4;2;0;1;19;14;464;1;1;0;1;0;0;0;1;6;1;1;8;0;0;7;0;1;1;3;0;0;0;3;11;163;0;0;2;2;0;19;2;0;17;0;0;0;2
1033;0;0;0;0;0;1;8;164;0;0;45;0;0;0;0;0;0;3;0;0;0;9;0;0;0;0;0;0;1;1;0;0;0;51;1;18;0;6;0;0;0;53;0;0;0
1034;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
1037;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1038;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1039;0;15;0;3;1;5;2;1;3;0;16;0;1;0;0;0;0;4;3;0;3;0;1;0;0;0;0;0;0;7;0;3;0;2;0;10;0;1;5;0;0;0;6;2;0
1040;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;6;0;1;0;0;0;1;0;0;0;0
1043;11;4;0;0;0;0;0;0;10;0;0;0;0;0;0;139;0;40;0;0;30;0;14;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;560;0;4894;0;0;0;0
1049;0;0;0;6;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1052;0;0;0;0;0;11;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;13;0;0;8;0;0;10;114;0;0
1053;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1057;61;2;9;0;2;0;5;0;485;1;0;10;0;0;0;52;30;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;3;0;4;0;0;0;0;0
1058;0;1;0;0;4;7;8;0;14;0;1;0;10;0;2;2;2;4;5;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;1;0;5;1;2;4;0;6;0;4
1063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1064;1;0;0;2;30;0;153;0;0;0;3;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;3;0;0;0
1069;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1073;2;0;0;62;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;28;0;106;0;0;0;0;0;0;0
1082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
1083;0;0;0;0;0;0;0;0;30;0;0;46;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1085;0;0;0;51;0;19;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;1;0;0;0;12;0;0;0;0;0;1
1093;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0
1094;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2139;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1097;0;6;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;25;0;0;0;0;0
1099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
1105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;17;0;0;0;0;0;0
1109;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;298;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0
1121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1124;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1139;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1142;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
1151;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
1153;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
